Suburb,Direction,Distance (km)
Croydon,West,8.7
Croydon Park,West,9.6
Cumberland Reach,North-west,54.1
Curl Curl,North-east,13.6
Currans Hill,West,45.5
Daceyville,South,7
Daleys Point,North,42.3
Dangar Island,North,36.7
Dapto,South-west,79.5
Darling Point,East,2.8
Darlinghurst,South-east,1.8
Darlington,South-west,3
Davidson,North,14.3
Davistown,North,44.8
Dawes Point,North,1.5
Dean Park,West,35.3
Dee Why,North-east,14.6
Denham Court,West,36.2
Denistone,North-west,13.5
Denistone East,North-west,12.8
Denistone West,North-west,14.1
Dharruk,West,38.7
Dolans Bay,South,22.7
Dolls Point,South,15.1
Doonside,West,33.2
Dora Creek,North,91.3
Double Bay,East,3.7
Douglas Park,South-west,57.6
Dover Heights,East,6.8
Drummoyne,West,5.2
Dudley,North-east,108.6
Duffys Forest,North,21.8
Dulwich Hill,South-west,7.2
Dundas,West,16.8
Dundas Valley,North-west,16.2
Dural,North-west,26.4
Eagle Vale,West,41
Earlwood,South-west,10
East Corrimal,South-west,62.9
East Gosford,North,49.6
East Hills,West,23
East Killara,North,13.1
East Kurrajong,North-west,60.2
East Lindfield,North,11.4
East Ryde,North-west,8.6
Eastern Creek,West,32.1
Eastgardens,South,8.9
Eastlakes,South,6.5
Eastwood,North-west,14.5
Ebenezer,North-west,50.6
Edensor Park,West,30.7
Edgecliff,East,2.9
Edgeworth,North,111.9
Edmondson Park,West,33.3
Elanora Heights,North,20.3
Elderslie,West,50.5
Eleebana,North,105.5
Elermore Vale,North,114.5
Elizabeth Bay,East,1.9
Ellalong,North,106.4
Ellis Lane,West,53.2
Elvina Bay,North,26.1
Emerton,West,39.4
Empire Bay,North,43.9
Emu Heights,West,53.8
Emu Plains,West,52.2
Enfield,West,10.8
Engadine,South-west,28.5
Englorie Park,South-west,44.9
Enmore,South-west,4.9
Epping,North-west,15.6
Erina,North,50.5
Erina Heights,North,52.2
Ermington,West,15.3
Erskine Park,West,39.2
Erskineville,South-west,4.2
Eschol Park,West,40.4
Ettalong Beach,North,41.1
Eveleigh,South,3.5
Fairfield,West,23.3
Fairfield East,West,21.2
Fairfield Heights,West,24.8
Fairfield West,West,26.3
Fairlight,North-east,9.8
Fairy Meadow,South-west,66
Farmborough Heights,South-west,74.4
Faulconbridge,West,64.2
Fennell Bay,North,104
Fernhill,South-west,64.6
Figtree,South-west,70.9
Five Dock,West,7.1
Floraville,North-east,104.6
Forest Lodge,South-west,2.9
Forestville,North,11.7
Forresters Beach,North-east,56.5
Fountaindale,North,61.3
Freemans Reach,North-west,51.3
Frenchs Forest,North,13.1
Freshwater,North-east,12.2
Galston,North-west,28.3
Garden Suburb,North-east,111.4
Gateshead,North-east,108.3
Georges Hall,West,21.4
Gerringong,South,103.8
Gerroa,South,106.8
Girraween,West,25.2
Gladesville,West,8.3
Glebe,South-west,2.3
Glen Alpine,South-west,46.6
Glenbrook,West,55.3
Glendale,North,112.5
Glendenning,West,35.5
Glenfield,West,31.1
Glenhaven,North-west,26
Glenmore,West,60.5
Glenmore Park,West,50.5
Glenning Valley,North,60.7
Glenorie,North-west,32.4
Glenwood,West,30
Glossodia,North-west,55.2
Gordon,North,13.4
Gorokan,North,73.5
Gosford,North,50.6
Granville,West,18.5
Grasmere,West,53.8
Grays Point,South-west,24.3
Great Mackerel Beach,North,31.7
Green Valley,West,31.7
Greenacre,West,14.5
Greendale,West,51
Greenfield Park,West,29.4
Greenwich,North-west,4.4
Gregory Hills,West,43.9
Greystanes,West,24
Grose Vale,North-west,59.7
Grose Wold,North-west,58.9
Guildford,West,20.5
Guildford West,West,21.8
Gunderman,North,48.3
Gwandalan,North-east,87.9
Gwynneville,South-west,68
Gymea,South-west,21.6
Gymea Bay,South-west,23
Haberfield,West,6.5
Hamilton,North-east,116.4
Hamilton North,North-east,117.2
Hamilton South,North-east,115.4
Hamlyn Terrace,North,73
Hammondville,West,25.1
Hardys Bay,North,40.8
Harrington Park,West,46.3
Harris Park,West,19
Hassall Grove,West,37.5
Hawkesbury Heights,West,56
Haymarket,South,1.4
Hazelbrook,West,71.8
Heathcote,South-west,30.5
Hebersham,West,38.1
Heckenberg,West,29.7
Helensburgh,South-west,41.6
Henley,West,7.1
Highfields,North-east,111.8
Hillsdale,South,9.8
Hinchinbrook,West,32.2
Hobartville,North-west,51.8
Holgate,North,54.1
Holmesville,North,111.6
Holroyd,West,19.9
Holsworthy,West,25.5
Homebush,West,11.6
Homebush Bay,West,12.2
Homebush West,West,12.7
Horningsea Park,West,34.7
Hornsby,North-west,20.7
Hornsby Heights,North-west,24.2
Horsfield Bay,North,42.5
Horsley,South-west,79.8
Horsley Park,West,33.3
Hoxton Park,West,33.6
Hunters Hill,North-west,5.9
Huntingwood,West,30.5
Huntleys Cove,West,7
Huntleys Point,West,6.9
Hurlstone Park,South-west,8.4
Hurstville,South-west,14.7
Hurstville Grove,South-west,16.6
Illawong,South-west,21.1
Ingleburn,West,34.7
Ingleside,North,21
Islington,North-east,117.2
Jamberoo,South-west,95.6
Jamisontown,West,50.1
Jannali,South-west,21.2
Jesmond,North-east,116.4
Jewells,North-east,104.7
Jordan Springs,West,46.8
Kahibah,North-east,111.2
Kanahooka,South-west,78.9
Kangaroo Point,South-west,17.8
Kangaroo Valley,South-west,114.9
Kangy Angy,North,62.8
Kanwal,North,73.3
Kareela,South-west,20
Kariong,North,48.2
Katoomba,West,84.6
Kearns,West,41.1
Keiraville,South-west,68.3
Kellyville,North-west,28.8
Kellyville Ridge,North-west,31.8
Kemps Creek,West,38.7
Kensington,South,4.9
Kenthurst,North-west,29.6
Kentlyn,South-west,39.5
Kiama,South,95.2
Kiama Downs,South,92.6
Killara,North,12
Killarney Heights,North,10.4
Killarney Vale,North-east,60.1
Killcare,North,40.6
Killcare Heights,North,41.3
Kincumber,North,47.3
Kincumber South,North,45.9
Kings Langley,West,29.8
Kings Park,West,31.1
Kingsford,South,6.7
Kingsgrove,South-west,12.8
Kirkham,West,49.5
Kirrawee,South-west,22.4
Kirribilli,North,2.4
Kogarah,South-west,12.7
Kogarah Bay,South-west,14.7
Koolewong,North,45.8
Koonawarra,South-west,79.7
Kotara,North-east,112.7
Kotara South,North-east,111.6
Kurmond,North-west,59.6
Kurnell,South,15.7
Kurraba Point,North-east,3
Kurrajong,North-west,61.9
Kurrajong Heights,North-west,65.2
Kurrajong Hills,North-west,63.5
Kyeemagh,South-west,10.3
Kyle Bay,South-west,17.1
La Perouse,South,13.6
Lake Haven,North,74.7
Lake Heights,South-west,75
Lake Illawarra,South-west,82.2
Lake Munmorah,North-east,82.2
Lakelands,North,108.5
Lakemba,West,13.5
Lalor Park,West,28.2
Lambton,North-east,116.1
Lane Cove,North-west,6.8
Lane Cove North,North-west,7.4
Lane Cove West,North-west,7.7
Lansdowne,West,21.9
Lansvale,West,23.2
Lapstone,West,54
Lavender Bay,North,2.7
Lawson,West,73.8
Leichhardt,West,5
Leonay,West,52.9
Leppington,West,37.6
Lethbridge Park,West,40.4
Leumeah,West,40.2
Leura,West,82.8
Lewisham,West,6.6
Liberty Grove,West,11.8
Lidcombe,West,15.1
Lilyfield,West,3.9
Linden,West,67.9
Lindfield,North,10.7
Linley Point,North-west,7
Lisarow,North,56.2
Little Bay,South,13.1
Liverpool,West,26.9
Llandilo,West,45.7
Loftus,South-west,24.8
Londonderry,West,50.1
Long Jetty,North-east,62.1
Long Point,West,33
Longueville,North-west,5.4
Lower Macdonald,North,59.4
Lower Portland,North-west,56.4
Luddenham,West,47.7
Lugarno,South-west,19.6
Lurnea,West,29.6
MacMasters Beach,North-east,46
Macquarie Fields,West,32.9
Macquarie Hills,North,109.7
MacQuarie Links,West,33.9
Macquarie Park,North-west,11.8
Maianbar,South,25.3
Malabar,South,11.5
Mangerton,South-west,70
Mangrove Mountain,North,63
Manly,North-east,10.8
Manly Vale,North-east,10.8
Mannering Park,North,85.5
Maraylya,North-west,40.6
Marayong,West,31.6
Mardi,North,67.5
Marks Point,North-east,99.2
Marmong Point,North,105.8
Maroota,North-west,49.4
Maroubra,South,9.4
Marrickville,South-west,6.7
Marsden Park,West,39.5
Marsfield,North-west,13.6
