Suburb,Total
Blackmans Point,22
Blacksmiths,152
Blackville,1
Blackwall,165
Blair Athol,74
Blairmount,29
Blakebrook,2
Blakehurst,203
Blakney Creek,0
Bland,3
Blandford,5
Blaxland,480
Blaxlands Creek,3
Blaxlands Ridge,11
Bligh Park,286
Blighty,12
Blowering,15
Blue Bay,101
Blue Haven,365
Blue Knob,15
Blue Mountains National Park,138
Blue Nobby,0
Blue Vale,1
Blueys Beach,11
Boambee,89
Boambee East,231
Boambolo,1
Boat Harbour (Lismore),1
Boat Harbour (Port Stephens),61
Bobadah,0
Bobin,4
Bobs Creek,0
Bobs Farm,25
Bobundara,1
Boco,1
Bocoble,5
Bocobra,0
Bodalla,47
Bodangora,4
Boeill Creek,12
Bogan,0
Bogan Gate,21
Bogangar,105
Bogee,8
Boggabilla,451
Boggabri,109
Bogong Peaks Wilderness,0
Bohena Creek,12
Bohnock,2
Bolaro,2
Bolivia,3
Bolong,11
Bolton Point,164
Bolwarra,13
Bolwarra Heights,47
Bom Bom,0
Bomaderry,604
Bombah Point,1
Bombala,58
Bombay,7
Bombira,15
Bombo,44
Bombowlee,5
Bombowlee Creek,0
Bomen,10
Bomera,0
Bonalbo,35
Bondi,639
Bondi Beach,1687
Bondi Forest,0
Bondi Junction,2642
Bonnells Bay,196
Bonnet Bay,14
Bonny Hills,63
Bonnyrigg Heights,212
Bonshaw,12
Booerie Creek,1
Book Book,0
Booker Bay,64
Bookham,6
Bookookoorara,0
Bookram,0
Boolambayte,18
Boolaroo,486
Boolcarroll,0
Booligal,5
Boolijah,0
Boomanoomana,0
Boomerang Beach,24
Boomey,0
Boomi,9
Boomi Creek,1
Boona Mount,0
Boonal,0
Boonoo Boonoo,0
Boorabee Park,3
Booragul,118
Booral,27
Boorga,1
Boorganna,0
Boorolong,0
Boorook,3
Boorooma,6
Booroorban,4
Boorowa,91
Bootawa,5
Booti Booti,0
Booyong,0
Bora Ridge,0
Borah Creek,1
Borambola,8
Border Ranges,0
Boree,0
Boree Creek,12
Borenore,9
Boro,3
Bossley Park,475
Bostobrick,9
Botany,406
Botobolar,1
Bottle Creek,1
Bouddi,10
Bourbah,1
Bourkelands,76
Bournda,4
Bournewood,0
Bow Bowing,46
Bowan Park,0
Bowen Mountain,20
Bowenfels,297
Bowling Alley Point,2
Bowman,0
Bowman Farm,1
Bowmans Creek,0
Bowna,12
Bowning,24
Bowral,704
Bowraville,127
Box Head,5
Box Hill,49
Box Ridge,2
Boxers Creek,7
Boydtown,3
Braefield,0
Braemar,24
Braemar Bay,2
Braidwood,92
Brandy Hill,9
Branxton,104
Braunstone,17
Brawboy,0
Bray Park,24
Brays Creek,1
Brayton,0
Breadalbane,4
Breakfast Creek,4
Breakfast Point,42
Bream Beach,2
Bredbo,16
Breelong,6
Breeza,4
Bretti,0
Brewarrina,398
Brewongle,5
Briarbrook,0
Bribbaree,3
Bridgman,10
Brierfield,4
Brighton-le-Sands,566
Brightwaters,29
Bril Bril,0
Brimbin,2
Brindabella,0
Brinerville,0
Bringelly,114
Bringenbrong,1
Brisbane Grove,12
Broadwater (Bega Valley),4
Broadwater (Richmond Valley),28
Broadway,1
