Suburb,Direction,Distance (km),Latitude,Longitude
Bondi,East,5.9,-33.89379999999994,151.26300000000003
Bondi Beach,East,6.8,-33.88865999999996,151.27786000000003
Bondi Junction,South-east,4.7,-33.892409999999984,151.24732000000006
Bonnells Bay,North,90.0,-33.11019999999996,151.52214000000004
Bonnet Bay,South-west,21.2,-34.01120999999995,151.0552100000001
Bonnyrigg,West,29.7,-33.89666999999997,150.88381000000004
Bonnyrigg Heights,West,31.4,-33.88924999999995,150.8691100000001
Booker Bay,North,41.6,-33.511079999999936,151.34445000000005
Bossley Park,West,29.9,-33.85967999999997,150.88273000000004
Botany,South,8.7,-33.94516999999996,151.19676000000004
Bow Bowing,West,38.1,-34.017169999999965,150.83969000000002
Bowen Mountain,North-west,62.8,-33.57420999999994,150.63015000000007
Bowral,South-west,99.5,-34.478249999999946,150.41800000000012
Box Hill,North-west,36.0,-33.65624999999994,150.89683000000002
Bradbury,South-west,43.7,-34.08416999999997,150.81247000000008
Breakfast Point,West,9.3,-33.841579999999965,151.10865
Brighton Le Sands,South-west,11.4,-33.96062999999998,151.1556700000001
Brighton-le-sands,South-west,11.4,-33.96062999999998,151.1556700000001
Brightwaters,North,89.2,-33.11090999999993,151.54228000000012
Bringelly,West,44.7,-33.94013999999993,150.73185000000012
Broadmeadow,North-east,116.0,-32.92207999999994,151.7319000000001
Bronte,South-east,6.5,-33.90286999999995,151.26001000000008
Brooklyn,North,35.6,-33.548059999999964,151.22615000000008
Brookvale,North-east,12.8,-33.76112999999998,151.27368
Brownlow Hill,West,53.8,-34.039409999999975,150.65883000000008
Budgewoi,North-east,77.5,-33.232609999999966,151.54894000000002
Buff Point,North-east,77.8,-33.22635999999994,151.5367500000001
Bulli,South-west,58.6,-34.33364999999998,150.91329000000007
Bundeena,South,24.7,-34.084149999999966,151.14634
Bungarribee,West,32.9,-33.77840999999995,150.86953000000005
Burradoo,South-west,102.6,-34.506149999999934,150.40489000000002
Burraneer,South,23.0,-34.053169999999966,151.14178000000004
Burwood,West,9.6,-33.87768999999997,151.10548000000006
Burwood Heights,West,9.8,-33.88794999999993,151.10433000000012
Busby,West,31.1,-33.91075999999998,150.88085
Buttaba,North,97.0,-33.05304999999993,151.57949000000008
Cabarita,West,8.9,-33.84567999999996,151.1155500000001
Cabramatta,West,25.3,-33.894979999999975,150.93853000000001
Cabramatta West,West,27.0,-33.88740999999993,150.91015000000004
Calga,North,48.5,-33.40945999999997,151.21720000000005
Cambridge Gardens,West,47.5,-33.73491999999993,150.72122000000002
Cambridge Park,West,46.4,-33.74760999999995,150.72098000000005
Camden,West,51.6,-34.05571999999995,150.69365000000005
Camden Park,West,51.1,-34.09705999999994,150.69576000000006
Camden South,West,53.3,-34.07791999999995,150.6944400000001
Cameron Park,North,114.2,-32.90796999999998,151.6223900000001
Cammeray,North,5.0,-33.82224999999994,151.21037
Campbelltown,South-west,42.7,-34.06407999999993,150.81658000000004
Camperdown,South-west,3.7,-33.88805999999994,151.18321000000003
Campsie,West,10.7,-33.90672999999998,151.1031700000001
Canada Bay,West,8.4,-33.86284999999998,151.11585000000002
Canley Heights,West,26.2,-33.88380999999998,150.92527000000007
Canley Vale,West,24.5,-33.88704999999993,150.94260000000008
Canoelands,North,42.3,-33.49544999999995,151.0801100000001
Canterbury,South-west,9.3,-33.913869999999974,151.1150100000001
Cardiff,North,111.5,-32.94186999999994,151.6641800000001
Cardiff Heights,North,112.3,-32.93609999999995,151.67450000000008
Cardiff South,North,109.7,-32.95209999999997,151.66214000000002
Caringbah,South,21.1,-34.042839999999956,151.12081000000012
Caringbah South,South,23.3,-34.05686999999995,151.12111000000004
Carlingford,North-west,17.5,-33.778389999999945,151.0559800000001
Carlton,South-west,13.6,-33.973679999999945,151.1294600000001
Carnes Hill,West,34.3,-33.935859999999934,150.84473000000003
Carramar,West,22.7,-33.88484999999997,150.9675000000001
Carss Park,South-west,15.6,-33.98439999999994,151.11611000000005
Cartwright,West,30.0,-33.92543999999998,150.8901400000001
Castle Cove,North,9.3,-33.781649999999956,151.2016000000001
Castle Hill,North-west,23.9,-33.73151999999993,151.0039200000001
Castlecrag,North,7.2,-33.80237999999997,151.21239000000003
Castlereagh,West,53.8,-33.72774999999996,150.6780000000001
Casula,West,29.1,-33.94943999999998,150.90381000000002
Catherine Field,West,43.2,-33.993739999999946,150.76488000000006
Cattai,North-west,44.0,-33.560149999999965,150.90750000000003
Caves Beach,North-east,93.6,-33.10075999999998,151.64555000000007
Cawdor,West,56.2,-34.07105999999993,150.68146000000002
Cecil Hills,West,32.8,-33.89394999999996,150.85633000000007
Cecil Park,West,33.8,-33.873279999999966,150.83753000000002
Centennial Park,South-east,3.8,-33.89820999999995,151.2330300000001
Central MacDonald,North,62.1,-33.330559999999934,150.9822200000001
Central Mangrove,North,64.1,-33.27300999999994,151.22315000000003
Cessnock,North,115.9,-32.83286999999996,151.3554200000001
Charlestown,North-east,110.1,-32.95777999999996,151.68815000000006
Charmhaven,North,76.1,-33.23688999999996,151.50107000000003
Chatswood,North,8.2,-33.79603999999995,151.18387000000007
Chatswood West,North-west,8.7,-33.792569999999955,151.15949000000012
Cheero Point,North,39.9,-33.51030999999995,151.19305000000008
Cheltenham,North-west,16.7,-33.755859999999984,151.07942000000003
Cherrybrook,North-west,22.1,-33.72177999999997,151.04092000000003
Chester Hill,West,19.1,-33.88299999999998,151.00004
Chifley,South,12.6,-33.96590999999995,151.24162
Chippendale,South,2.3,-33.88845999999995,151.19811000000004
Chipping Norton,West,23.3,-33.91569999999996,150.96091
Chiswick,West,6.8,-33.84938999999997,151.13904000000002
Chittaway Bay,North,63.5,-33.324869999999976,151.43230000000005
Chittaway Point,North,64.3,-33.32496999999995,151.42789000000005
Chullora,West,14.8,-33.893419999999935,151.04743000000008
Church Point,North,25.8,-33.64481999999998,151.28446000000008
Claremont Meadows,West,43.5,-33.77021999999994,150.75202000000002
Clareville,North,27.7,-33.63574999999997,151.30865000000006
Clemton Park,South-west,11.6,-33.92518999999993,151.10385000000008
Clifton,South-west,49.1,-34.25983999999994,150.96938000000011
