Suburb,Direction,Distance (km),Latitude,Longitude
Killcare Heights,North,41.3,-33.52267999999998,151.37070000000006
Kincumber,North,47.3,-33.467649999999935,151.38150000000007
Kincumber South,North,45.9,-33.48369999999994,151.38453000000004
Kings Langley,West,29.8,-33.74566999999996,150.92411000000004
Kings Park,West,31.1,-33.74801999999994,150.91622000000007
Kingsford,South,6.7,-33.92292999999995,151.2272200000001
Kingsgrove,South-west,12.8,-33.930259999999976,151.10099000000002
Kirkham,West,49.5,-34.034149999999954,150.70737000000008
Kirrawee,South-west,22.4,-34.03389999999996,151.07116000000008
Kirribilli,North,2.4,-33.84583999999995,151.2126800000001
Kogarah,South-west,12.7,-33.96286999999995,151.1328900000001
Kogarah Bay,South-west,14.7,-33.98081999999994,151.12503000000004
Koolewong,North,45.8,-33.46613999999994,151.31871
Koonawarra,South-west,79.7,-34.50281999999993,150.8085000000001
Kotara,North-east,112.7,-32.94064999999995,151.71217000000001
Kotara South,North-east,111.6,-32.94981999999993,151.6859800000001
Kurmond,North-west,59.6,-33.550689999999975,150.6910600000001
Kurnell,South,15.7,-34.009559999999965,151.21531000000004
Kurraba Point,North-east,3.0,-33.84248999999994,151.22256000000004
Kurrajong,North-west,61.9,-33.54822999999993,150.67524000000003
Kurrajong Heights,North-west,65.2,-33.522899999999936,150.62810000000002
Kurrajong Hills,North-west,63.5,-33.54213999999996,150.64485000000002
Kyeemagh,South-west,10.3,-33.949859999999944,151.16380000000004
Kyle Bay,South-west,17.1,-33.98884999999996,151.09914000000003
La Perouse,South,13.6,-33.98795999999993,151.2310900000001
Lake Haven,North,74.7,-33.24392999999998,151.50015000000008
Lake Heights,South-west,75.0,-34.47939999999994,150.86845000000005
Lake Illawarra,South-west,82.2,-34.541249999999934,150.86422000000005
Lake Munmorah,North-east,82.2,-33.19022999999993,151.5775000000001
Lakelands,North,108.5,-32.96156999999994,151.6511200000001
Lakemba,West,13.5,-33.92039999999997,151.0773700000001
Lalor Park,West,28.2,-33.76187999999996,150.93149000000005
Lambton,North-east,116.1,-32.91018999999994,151.70518000000004
Lane Cove,North-west,6.8,-33.81346999999994,151.1701700000001
Lane Cove North,North-west,7.4,-33.801589999999976,151.1485500000001
Lane Cove West,North-west,7.7,-33.814269999999965,151.1545400000001
Lansdowne,West,21.9,-33.89284999999995,150.97075000000007
Lansvale,West,23.2,-33.89903999999996,150.95563000000004
Lapstone,West,54.0,-33.77385999999996,150.63722000000007
Lavender Bay,North,2.7,-33.84305999999998,151.20806000000005
Lawson,West,73.8,-33.71841999999998,150.4331400000001
Leichhardt,West,5.0,-33.88366999999994,151.1587300000001
Leonay,West,52.9,-33.76389999999998,150.6491400000001
Leppington,West,37.6,-33.96807999999993,150.81491000000005
Lethbridge Park,West,40.4,-33.73715999999996,150.79761000000008
Leumeah,West,40.2,-34.05097999999998,150.83518000000004
Leura,West,82.8,-33.71103999999997,150.33148000000006
Lewisham,West,6.6,-33.893329999999935,151.14699000000007
Liberty Grove,West,11.8,-33.84194999999994,151.08473000000004
Lidcombe,West,15.1,-33.864829999999984,151.0407100000001
Lilyfield,West,3.9,-33.87378999999993,151.16244000000006
Linden,West,67.9,-33.712849999999946,150.5163100000001
Lindfield,North,10.7,-33.77518999999995,151.16867000000002
Linley Point,North-west,7.0,-33.825669999999946,151.14998000000003
Lisarow,North,56.2,-33.378559999999936,151.37423
Little Bay,South,13.1,-33.98291999999998,151.24238000000003
Liverpool,West,26.9,-33.92244999999997,150.92311000000007
Llandilo,West,45.7,-33.70787999999993,150.74886000000004
Loftus,South-west,24.8,-34.05132999999995,151.04938000000004
Londonderry,West,50.1,-33.64507999999995,150.73574000000008
Long Jetty,North-east,62.1,-33.35919999999993,151.4841
Long Point,West,33.0,-34.010869999999954,150.8976
Longueville,North-west,5.4,-33.82707999999997,151.17045000000007
Lower Macdonald,North,59.4,-33.35913999999997,150.9665500000001
Lower Portland,North-west,56.4,-33.43865999999997,150.88300000000004
Luddenham,West,47.7,-33.873959999999954,150.68873000000008
Lugarno,South-west,19.6,-33.975889999999936,151.04786000000001
Lurnea,West,29.6,-33.931299999999965,150.89637000000005
MacMasters Beach,North-east,46.0,-33.50183999999996,151.4170600000001
Macquarie Fields,West,32.9,-33.98501999999996,150.89386000000002
Macquarie Hills,North,109.7,-32.951619999999934,151.64566000000002
MacQuarie Links,West,33.9,-33.98619999999994,150.86616000000004
Macquarie Park,North-west,11.8,-33.77846999999997,151.12560000000008
Maianbar,South,25.3,-34.08430999999996,151.1253200000001
Malabar,South,11.5,-33.962309999999945,151.24698000000012
Mangerton,South-west,70.0,-34.43106999999998,150.87297
Mangrove Mountain,North,63.0,-33.30284999999998,151.1905200000001
Manly,North-east,10.8,-33.79470999999995,151.2872400000001
Manly Vale,North-east,10.8,-33.78201999999993,151.26773000000003
Mannering Park,North,85.5,-33.17309999999998,151.5390500000001
Maraylya,North-west,40.6,-33.58702999999997,150.90921000000003
Marayong,West,31.6,-33.74626999999998,150.89985000000001
Mardi,North,67.5,-33.30599999999998,151.40998000000002
Marks Point,North-east,99.2,-33.05658999999997,151.65201000000002
Marmong Point,North,105.8,-32.98190999999997,151.61841000000004
Maroota,North-west,49.4,-33.48332999999997,150.95000000000005
Maroubra,South,9.4,-33.94150999999994,151.2383400000001
Marrickville,South-west,6.7,-33.91252999999995,151.1605300000001
Marsden Park,West,39.5,-33.69494999999995,150.82913000000008
Marsfield,North-west,13.6,-33.78031999999996,151.1023600000001
Mascot,South,7.2,-33.92975999999993,151.1946200000001
Matcham,North,53.9,-33.41567999999995,151.41552000000001
Matraville,South,10.3,-33.960429999999974,151.23139000000003
Mays Hill,West,20.7,-33.82135999999997,150.99002000000007
McGraths Hill,North-west,44.3,-33.612079999999935,150.8426700000001
McMahons Point,North,2.5,-33.84599999999995,151.2040800000001
Meadowbank,West,12.2,-33.81595999999996,151.09086000000002
Melrose Park,West,13.4,-33.81661999999994,151.07589000000007
Menai,South-west,24.0,-34.01477999999997,151.01143000000002
Menangle,South-west,51.8,-34.127539999999954,150.73838000000012
Menangle Park,South-west,50.2,-34.10898999999995,150.74824
Merewether,North-east,114.7,-32.943359999999984,151.74896
Merewether Heights,North-east,113.5,-32.94691999999998,151.73602000000005
Merrylands,West,20.4,-33.83597999999995,150.9872600000001
Merrylands West,West,22.1,-33.83645999999993,150.9682100000001
Middle Cove,North,8.1,-33.79249999999996,151.20731000000012
Middle Dural,North-west,30.0,-33.63871999999998,151.02219000000002
Middleton Grange,West,34.2,-33.91373999999996,150.8424100000001
Miller,West,30.3,-33.920259999999985,150.88564000000008
Millers Point,North,1.0,-33.858319999999935,151.2033600000001
Milperra,West,21.6,-33.94146999999998,150.98309000000006
Milsons Point,North,2.2,-33.84693999999996,151.21148000000005
Minchinbury,West,37.6,-33.78175999999996,150.82461000000012
Minto,West,37.9,-34.030899999999974,150.84329000000002
Minto Heights,South-west,38.8,-34.031709999999975,150.87256000000002
Miranda,South-west,21.0,-34.033729999999935,151.10262000000012
Mirrabooka,North,90.3,-33.110859999999946,151.55524000000003
Mittagong,South-west,95.4,-34.45097999999996,150.44670000000008
Mona Vale,North-east,22.8,-33.67812999999995,151.29924000000005
Monterey,South-west,12.9,-33.971589999999935,151.15151000000003
Mooney Mooney,North,37.8,-33.52412999999996,151.20189000000005
Moore Park,South,3.8,-33.89621999999997,151.2252800000001
Moorebank,West,24.6,-33.95107999999993,150.9230100000001
Morisset,North,88.4,-33.10797999999994,151.48880000000008
Mortdale,South-west,16.4,-33.96995999999996,151.07959000000005
Mortlake,West,9.6,-33.842089999999985,151.10764000000006
Mosman,North-east,5.4,-33.82447999999994,151.24026000000003
Moss Vale,South-west,107.9,-34.550149999999974,150.37116000000003
Mount Annan,West,45.9,-34.05024999999995,150.76065000000006
Mount Colah,North,23.4,-33.683329999999955,151.1166700000001
Mount Druitt,West,37.8,-33.76463999999993,150.81740000000002
Mount Hunter,West,57.0,-34.07053999999994,150.65005000000008
Mount Hutton,North-east,107.2,-32.98072999999994,151.6692700000001
Mount Keira,South-west,68.8,-34.415629999999965,150.8594200000001
Mount Kuring-gai,North,24.4,-33.65626999999995,151.13251000000002
Mount Lewis,West,15.7,-33.91554999999994,151.05063000000007
Mount Ousley,South-west,66.4,-34.401779999999974,150.88174000000004
Mount Pleasant,South-west,66.9,-33.48332999999997,151.35000000000002
Mount Pritchard,West,28.3,-33.91348999999997,150.90685000000008
Mount Riverview,West,55.5,-33.72728999999998,150.6377500000001
Mount Saint Thomas,South-west,71.1,-34.44098999999994,150.87004000000002
Mount Vernon,West,36.8,-33.867929999999944,150.79606
Mount Victoria,West,93.8,-33.58935999999994,150.25607000000002
Mount Warrigal,South-west,83.3,-34.55607999999995,150.84725000000003
Mulgoa,West,51.7,-33.84168999999997,150.64915000000008
Mulgrave,North-west,44.2,-33.62608999999998,150.83810000000005
Narara,North,54.0,-33.396739999999966,151.33294000000012
Narellan,West,47.6,-34.03970999999996,150.73516000000006
Narellan Vale,West,47.6,-34.049129999999934,150.74723000000006
Naremburn,North,5.6,-33.817309999999964,151.20126000000005
Narrabeen,North-east,17.7,-33.72001999999998,151.29845000000012
Narraweena,North-east,14.5,-33.74972999999994,151.27353000000005
Narwee,South-west,15.6,-33.947089999999946,151.0698000000001
Nelson,North-west,36.1,-33.64567999999997,150.9226500000001
Neutral Bay,North,3.8,-33.83049999999997,151.21969
New Lambton,North-east,115.1,-32.92230999999998,151.71541000000002
New Lambton Heights,North-east,113.3,-32.93021999999996,151.68101000000001
Newcastle West,North-east,116.7,-32.92844999999994,151.76060000000007
Newington,West,14.4,-33.839189999999974,151.05455000000006
Newport,North,24.9,-33.65062999999998,151.32346000000007
Newtown,South-west,4.1,-33.89857999999998,151.17613000000006
Niagara Park,North,55.7,-33.38439999999997,151.35538000000008
Norah Head,North-east,73.0,-33.27394999999996,151.56284000000005
Noraville,North-east,74.5,-33.268299999999954,151.5551700000001
Nords Wharf,North-east,89.5,-33.13702999999998,151.60619000000008
Normanhurst,North-west,19.2,-33.72112999999996,151.09712000000002
North Avoca,North-east,50.1,-33.45790999999997,151.43862000000001
North Balgowlah,North-east,9.8,-33.785999999999945,151.24952000000008
North Bondi,East,7.0,-33.884709999999984,151.2761200000001
North Curl Curl,North-east,14.3,-33.76301999999998,151.29808000000003
North Epping,North-west,16.3,-33.75676999999996,151.09567000000004
North Gosford,North,51.8,-33.416519999999934,151.3439800000001
North Lambton,North-east,116.7,-32.90349999999995,151.70434000000012
North Manly,North-east,11.7,-33.77491999999995,151.27035000000012
North Narrabeen,North-east,20.0,-33.70779999999996,151.29626000000007
North Parramatta,West,19.7,-33.79831999999993,151.01042000000007
North Richmond,North-west,55.0,-33.58231999999998,150.72212000000002
North Rocks,North-west,19.9,-33.775019999999984,151.02059000000008
North Ryde,North-west,11.0,-33.79337999999996,151.12002000000007
North St Marys,West,40.7,-33.747799999999984,150.7774700000001
North Strathfield,West,10.7,-33.86128999999994,151.08755000000008
North Sydney,North,3.2,-33.83920999999998,151.20721000000003
North Turramurra,North,18.0,-33.712989999999934,151.14723000000004
North Wahroonga,North-west,19.6,-33.700399999999945,151.12387
North Willoughby,North,7.4,-33.794919999999934,151.19662000000005
North Wollongong,South-west,67.2,-34.41133999999994,150.89250000000004
Northbridge,North,6.3,-33.81027999999998,151.22194000000002
Northmead,West,21.4,-33.79373999999996,150.9946900000001
Northwood,North-west,5.0,-33.82819999999998,151.17739000000006
Oakdale,West,68.2,-34.07922999999994,150.51078000000007
Oakhurst,West,37.1,-33.74138999999997,150.8353800000001
Oakville,North-west,39.1,-33.623549999999966,150.8741900000001
Oatlands,West,18.5,-33.79389999999995,151.0219300000001
Oatley,South-west,17.1,-33.977859999999964,151.07375000000002
Old Guildford,West,20.2,-33.86542999999995,150.98480000000006
Old Toongabbie,West,23.1,-33.78667999999993,150.96789
Oran Park,West,47.1,-34.005649999999946,150.72340000000008
Orangeville,West,59.4,-34.038539999999955,150.5747500000001
Orchard Hills,West,47.0,-33.77990999999997,150.72226000000012
Otford,South-west,43.0,-34.21050999999994,151.0058100000001
Ourimbah,North,58.5,-33.35182999999995,151.36984000000007
Oxford Falls,North,14.6,-33.73542999999995,151.24538000000007
Oxley Park,West,39.8,-33.774959999999965,150.79474000000005
Oyster Bay,South-west,19.4,-34.00685999999996,151.0809700000001
Paddington,South-east,2.7,-33.88202999999993,151.22890000000007
Padstow,South-west,18.4,-33.95214999999996,151.03260000000012
Padstow Heights,South-west,20.0,-33.968189999999936,151.03642000000002
Pagewood,South,7.9,-33.94025999999997,151.21604000000002
Palm Beach,North,31.1,-33.59242999999998,151.32330000000002
Panania,West,21.7,-33.954789999999946,150.9983800000001
Parklea,West,31.0,-33.72541999999993,150.91820000000007
Parramatta,West,19.6,-33.81681999999995,151.0108600000001
Patonga,North,35.8,-33.550359999999955,151.27259000000004
Peakhurst,South-west,16.9,-33.96256999999997,151.0580900000001
Peakhurst Heights,South-west,17.8,-33.97316999999998,151.05501000000004
Pearl Beach,North,37.6,-33.54148999999995,151.30660000000012
Peats Ridge,North,61.4,-33.34668999999997,151.2298800000001
Pemulwuy,West,27.1,-33.81736999999998,150.93133000000012
Pendle Hill,West,24.4,-33.799999999999955,150.95000000000005
Pennant Hills,North-west,19.0,-33.73583999999994,151.06916
Penrith,West,49.3,-33.75373999999994,150.69820000000004
Penshurst,South-west,15.4,-33.969389999999976,151.0920900000001
Petersham,South-west,5.9,-33.89626999999996,151.15390000000002
Pheasants Nest,South-west,67.3,-34.274599999999964,150.6317200000001
Phegans Bay,North,43.2,-33.486519999999985,151.3091300000001
Phillip Bay,South,12.9,-33.982039999999984,151.2354200000001
Picketts Valley,North-east,49.7,-33.45495999999997,151.4132300000001
Picnic Point,South-west,22.8,-33.970249999999965,151.00786000000005
Picton,South-west,65.8,-34.16909999999996,150.61152000000004
Pitt Town,North-west,44.9,-33.58644999999996,150.8619500000001
Pleasure Point,West,23.1,-33.96748999999994,150.98751000000004
Plumpton,West,36.2,-33.74554999999998,150.8345200000001
Point Clare,North,49.1,-33.43683999999996,151.32116000000008
Point Frederick,North,48.1,-33.43629999999996,151.34220000000005
Point Piper,East,4.2,-33.86745999999994,151.2534700000001
Port Hacking,South,23.6,-34.06683999999996,151.12147000000004
Potts Point,East,1.5,-33.87156999999996,151.22288000000003
Prairiewood,West,28.2,-33.85752999999994,150.90539
Prestons,West,32.1,-33.950309999999945,150.86571000000004
Pretty Beach,North,40.3,-33.52681999999993,151.3489800000001
Primbee,South-west,76.6,-34.49972999999994,150.88661000000002
Prospect,West,27.9,-33.79962999999998,150.91699000000006
Punchbowl,West,15.5,-29.45029999999997,152.77757000000008
Putney,West,9.9,-33.82370999999995,151.1087500000001
Pymble,North-west,15.0,-33.740279999999984,151.1371600000001
Pyrmont,West,1.3,-33.87075999999996,151.1956100000001
Quakers Hill,West,33.9,-33.726369999999974,150.8859900000001
Queens Park,South-east,5.5,-33.899369999999976,151.24732000000006
Queenscliff,North-east,11.8,-33.78262999999998,151.28440000000012
Raby,West,40.4,-34.02598999999998,150.82017000000008
Ramsgate,South-west,14.5,-33.98438999999996,151.13807000000008
Ramsgate Beach,South-west,13.8,-33.98439999999994,151.1476600000001
Randwick,South-east,6.1,-33.91367999999994,151.2397800000001
Randwick North,South-east,6.1,-33.948596159562086,150.89611554810142
Rankin Park,North-east,113.8,-32.92650999999995,151.6868300000001
Rathmines,North,98.8,-33.03814999999997,151.5853800000001
Razorback,West,58.3,-34.14924999999994,150.66474000000005
Redfern,South,2.9,-33.893149999999935,151.20670000000007
Redhead,North-east,106.1,-33.009799999999984,151.70797000000005
Regents Park,West,17.0,-33.881599999999935,151.02415000000008
Regentville,West,51.0,-33.77488999999997,150.6667900000001
Revesby,West,19.9,-33.95563999999996,151.01688000000001
Revesby Heights,South-west,21.0,-33.968939999999975,151.01960000000008
Rhodes,West,11.7,-33.82692999999995,151.0895700000001
Richmond,North-west,51.6,-33.59782999999993,150.75283000000002
Riverstone,North-west,38.2,-33.67820999999998,150.86380000000008
Riverview,North-west,6.4,-33.82305999999994,151.16216000000009
Riverwood,South-west,17.0,-33.95328999999998,151.05176000000006
Rockdale,South-west,11.5,-33.951809999999966,151.1381100000001
Rodd Point,West,6.1,-33.865299999999934,151.14517000000012
Rooty Hill,West,35.2,-33.77027999999996,150.83483
Ropes Crossing,West,42.4,-33.73213999999996,150.7813400000001
Rose Bay,East,5.7,-33.87025999999997,151.26884000000007
Rosebery,South,5.9,-33.91227999999995,151.2016500000001
Rosehill,West,17.7,-33.821249999999964,151.0308900000001
Roselands,West,14.4,-33.93670999999995,151.0744400000001
Rosemeadow,South-west,45.8,-34.10038999999995,150.79793000000006
Roseville,North,9.6,-33.78367999999995,151.17578000000003
Roseville Chase,North,10.2,-33.778039999999976,151.2001100000001
Rossmore,West,41.2,-33.92894999999993,150.76241000000005
Rouse Hill,North-west,34.0,-33.67841999999996,150.92222000000004
Rozelle,West,3.4,-33.863309999999956,151.1704400000001
Ruse,South-west,40.4,-34.072769999999934,150.84149000000002
Rushcutters Bay,East,2.2,-33.87542999999994,151.22589000000005
Russell Lea,West,6.2,-33.860239999999976,151.14141000000006
Russell Vale,South-west,61.2,-34.36056999999994,150.90156000000002
Rydalmere,West,16.5,-33.81247999999994,151.04171000000008
Ryde,North-west,11.2,-33.81300999999996,151.10503000000006
Sackville,North-west,51.0,-33.50411999999994,150.8755900000001
Sackville North,North-west,51.9,-33.480219999999974,150.8961200000001
Sadleir,West,30.1,-33.920639999999935,150.88961000000006
San Remo,North,78.6,-33.21538999999996,151.51934000000006
Sandringham,South-west,15.9,-33.99812999999995,151.1394200000001
Sandy Point,South-west,23.2,-35.06282999999996,149.8634800000001
Sans Souci,South-west,15.4,-33.99272999999994,151.13204000000007
Saratoga,North,45.7,-33.47560999999996,151.3535300000001
Scarborough,South-west,50.3,-34.271319999999946,150.95823000000007
Schofields,North-west,36.6,-33.69327999999996,150.86823000000004
Scotland Island,North,26.2,-33.63969999999995,151.2873800000001
Seaforth,North,8.9,-33.792239999999936,151.24112000000002
Sefton,West,18.2,-33.89017999999993,151.01255000000003
Seven Hills,West,27.2,-33.77553999999998,150.93420000000003
Shalvey,West,39.9,-33.72604999999993,150.80939000000012
Shanes Park,West,43.1,-33.70710999999994,150.78406000000007
Shelly Beach,North-east,61.2,-33.37265999999994,151.4824900000001
Silverdale,West,58.5,-33.90731999999997,150.60597000000007
Silverwater,West,15.2,-33.10114999999996,151.56333000000006
Smeaton Grange,West,46.4,-34.04057999999998,150.75531000000012
Smithfield,West,24.7,-33.851999999999975,150.93025000000011
Somersby,North,57.2,-33.37785999999994,151.2799900000001
South Coogee,South-east,8.5,-33.92801999999995,151.25142000000005
South Granville,West,18.6,-33.85331999999994,151.0084700000001
South Hurstville,South-west,15.5,-33.97700999999995,151.1044300000001
South Maroota,North-west,46.7,-33.50378999999998,150.95474000000002
South Penrith,West,47.9,-33.77350999999993,150.6971000000001
South Turramurra,North-west,16.0,-33.750359999999944,151.11275000000012
South Wentworthville,West,22.5,-33.82017999999994,150.96931000000006
South Windsor,North-west,46.3,-33.62175999999994,150.80443000000002
Speers Point,North,107.0,-32.96067999999997,151.62006000000008
Spencer,North,45.7,-33.45828999999998,151.1473000000001
Spring Farm,West,50.9,-34.06916999999993,150.71974000000012
Springfield,North,50.9,-33.43196999999998,151.36351000000002
Springwood,West,62.8,-33.698519999999974,150.56842000000006
St Albans,North,67.8,-33.28332999999998,150.98333000000002
St Andrews,West,38.5,-34.021459999999934,150.83174000000008
St Clair,West,39.4,-32.36899999999997,151.2735600000001
St Helens Park,South-west,46.6,-34.103729999999985,150.8070100000001
St Huberts Island,North,43.3,-33.48990999999995,151.3422700000001
St Ives,North,15.8,-33.73332999999997,151.16667000000007
St Ives Chase,North,17.9,-33.71020999999996,151.16066000000012
St Johns Park,West,28.0,-33.88512999999995,150.9060700000001
St Leonards,North,5.0,-33.82466999999997,151.19231000000002
St Marys,West,41.6,-33.78332999999998,150.7833300000001
St Peters,South-west,5.5,-33.916669999999954,151.18333000000007
Stanhope Gardens,North-west,30.7,-33.717889999999954,150.92099000000007
Stanmore,South-west,5.1,-33.89369999999997,151.1642200000001
Stanwell Park,South-west,45.1,-34.22613999999993,150.98572000000001
Stanwell Tops,South-west,44.4,-34.218939999999975,150.97969000000012
Strathfield,West,10.5,-33.871419999999944,151.09264000000007
Strathfield South,West,11.8,-33.891929999999945,151.08383000000003
Summer Hill,West,7.0,-33.89549999999997,151.1391900000001
Sun Valley,West,59.6,-33.711179999999956,150.59512000000007
Surry Hills,South,2.5,-33.87896999999998,151.21303000000012
Sutherland,South-west,22.9,-34.03153999999995,151.0576400000001
Swansea,North-east,95.3,-33.08946999999995,151.63745000000006
Sydenham,South-west,6.6,-33.91611999999998,151.16695000000004
Sydney,East,0.0,-33.869599999999934,151.2069100000001
Sydney Olympic Park,West,13.0,-33.84355999999997,151.07064000000003
Sylvania,South-west,18.3,-34.008749999999964,151.09602000000007
Sylvania Waters,South-west,19.0,-34.02270999999996,151.10894000000008
Tahmoor,South-west,69.1,-34.22541999999993,150.5923100000001
Tamarama,East,6.9,-33.89901999999995,151.2691000000001
Taren Point,South-west,17.9,-34.017169999999965,151.12350000000004
Tarrawanna,South-west,64.4,-34.380829999999946,150.88804000000005
Tascott,North,47.4,-33.44898999999998,151.3266400000001
Telopea,West,16.9,-33.795189999999934,151.04339000000004
Tempe,South-west,7.7,-33.92044999999996,151.1608000000001
Tennyson,North-west,57.1,-33.531699999999944,150.73207000000002
Tennyson Point,West,9.2,-33.828449999999975,151.11847000000012
Teralba,North,107.1,-32.96330999999998,151.60463000000004
Terrey Hills,North,20.5,-33.69103999999993,151.21440000000007
Terrigal,North-east,51.6,-33.44742999999994,151.44526000000008
The Entrance,North-east,64.0,-33.344199999999944,151.49674000000005
The Entrance North,North-east,66.5,-33.32949999999994,151.5023500000001
The Hill,North-east,117.0,-32.93154999999996,151.77655000000004
The Junction,North-east,115.5,-32.936849999999936,151.76025000000004
The Oaks,West,63.2,-34.076799999999935,150.57058000000006
The Ponds,North-west,33.1,-33.708549999999946,150.91198000000009
The Rocks,North,0.8,-33.858499999999935,151.2090700000001
The Slopes,North-west,60.7,-33.53209999999996,150.70785000000012
Theresa Park,West,56.8,-33.99534999999997,150.63992000000007
Thirlmere,South-west,69.6,-34.20285999999993,150.57140000000004
Thirroul,South-west,56.3,-34.31545999999997,150.9222900000001
Thornleigh,North-west,19.1,-33.72808999999995,151.08381000000008
Tingira Heights,North-east,106.0,-32.99888999999996,151.66574000000003
Toongabbie,West,25.3,-33.78610999999995,150.9634900000001
Toowoon Bay,North-east,62.7,-33.36305999999996,151.49688000000003
Toronto,North,101.6,-33.01133999999996,151.5934900000001
Toukley,North-east,73.8,-33.26399999999995,151.54237000000012
Towradgi,South-west,63.9,-34.38364999999993,150.90691000000004
Tregear,West,40.2,-33.75138999999996,150.7971100000001
Tuggerah,North,65.4,-33.305429999999944,151.42023000000006
Tuggerawong,North,70.1,-33.28106999999994,151.47962000000007
Tumbi Umbi,North,60.4,-33.37868999999995,151.44587
Turramurra,North-west,16.5,-33.73202999999995,151.12866000000008
Turrella,South-west,9.3,-33.930849999999964,151.14363000000003
Ultimo,South-west,1.6,-33.880079999999964,151.19878000000006
Umina Beach,North,38.8,-33.521499999999946,151.31941000000006
Unanderra,South-west,73.4,-34.450819999999965,150.84355000000005
Valentine,North,103.5,-33.01276999999993,151.6417600000001
Valley Heights,West,60.7,-33.70571999999993,150.58427000000006
Vaucluse,East,6.7,-33.85907999999995,151.27929000000006
Villawood,West,21.4,-33.88098999999994,150.98516000000006
Vineyard,North-west,42.8,-33.638619999999946,150.85007000000007
Voyager Point,West,23.9,-33.96190999999993,150.97310000000004
Wadalba,North,70.3,-33.26329999999996,151.46459000000004
Wagstaffe,North,40.3,-33.524899999999946,151.34135000000003
Wahroonga,North-west,18.7,-33.718429999999955,151.1174400000001
Waitara,North-west,20.0,-33.70776999999998,151.10566000000006
Wakeley,West,27.6,-33.86996999999997,150.91101000000003
Wallacia,West,52.3,-33.86532999999997,150.6404900000001
Wallsend,North,115.4,-32.90354999999994,151.6686800000001
Walsh Bay,North,1.4,-33.81666999999993,151.20000000000005
Wamberal,North-east,54.7,-33.41823999999997,151.44330000000002
Wangi Wangi,North,95.6,-33.061879999999974,151.56140000000005
Waratah,North-east,117.2,-32.90519999999998,151.72472000000005
Wareemba,West,7.2,-33.858109999999954,151.13102000000003
Warilla,South-west,82.1,-34.55242999999996,150.86029000000008
Warners Bay,North,107.4,-32.97529999999995,151.6462600000001
Warragamba,West,55.7,-33.889129999999966,150.59948000000009
Warrawee,North-west,17.7,-33.72530999999998,151.12371000000007
Warrawong,South-west,74.8,-34.48450999999994,150.88747000000012
Warriewood,North-east,21.3,-33.685779999999966,151.29110000000003
Warrimoo,West,58.0,-33.722969999999975,150.60500000000002
Warwick Farm,West,25.9,-33.91138999999998,150.93799
Watanobbi,North,69.8,-33.26601999999997,151.42875000000004
Waterfall,South-west,35.6,-34.13523999999995,150.9942400000001
Waterloo,South,3.7,-31.033329999999978,151.71667000000002
Watsons Bay,East,7.4,-33.84281999999996,151.2829200000001
Wattle Grove,West,27.2,-33.95459999999997,150.93925000000002
Waverley,South-east,5.4,-33.89865999999995,151.25396000000012
Waverton,North,3.2,-33.83765999999997,151.1968700000001
Wedderburn,South-west,46.1,-34.15594999999996,150.81639000000007
Wendoree Park,North,45.8,-33.46375999999998,151.1708400000001
Wentworth Falls,West,78.9,-33.710909999999956,150.37610000000006
Wentworth Point,West,12.8,-33.82882999999998,151.07490000000007
Wentworthville,West,22.9,-33.81191999999993,150.96590000000003
Werombi,West,57.3,-33.978549999999984,150.57260000000008
Werri Beach,South,103.0,-34.73678999999993,150.83087000000012
Werrington,West,44.9,-33.75670999999994,150.74945000000002
Werrington County,West,44.2,-33.74626999999998,150.74142000000006
Werrington Downs,West,45.3,-33.74309999999997,150.7264500000001
West Gosford,North,49.8,-33.42539999999997,151.32761000000005
West Hoxton,West,34.0,-33.916669999999954,150.85000000000002
West Pennant Hills,North-west,20.0,-33.744429999999966,151.03177000000005
West Pymble,North-west,14.1,-33.767969999999934,151.1351800000001
West Ryde,North-west,12.8,-33.807519999999954,151.08688000000006
West Wallsend,North,112.9,-32.902669999999944,151.58192000000008
Westleigh,North-west,21.3,-33.71909999999997,151.0684900000001
Westmead,West,21.5,-33.81449999999995,150.98467000000005
Wetherill Park,West,27.3,-33.854619999999954,150.90488000000005
Whalan,West,38.7,-33.75488999999993,150.80487000000005
Whale Beach,North,30.7,-33.61093999999997,151.3298900000001
Wheeler Heights,North-east,16.3,-33.73005999999998,151.28001000000006
Whitebridge,North-east,109.4,-32.98332999999997,151.71667000000002
Wickham,North-east,117.2,-32.91939999999994,151.7574300000001
Wilberforce,North-west,48.2,-33.55782999999997,150.83724000000007
Wiley Park,West,14.2,-33.92438999999996,151.0639000000001
Willmot,West,41.5,-33.72210999999993,150.78483000000006
Willoughby,North,7.4,-33.807249999999954,151.1993500000001
Willoughby East,North,7.6,-33.795469999999966,151.20856000000003
Wilton,South-west,62.6,-34.234159999999974,150.67702000000008
Windale,North-east,106.9,-32.99271999999996,151.6822800000001
Windang,South-west,80.2,-34.53253999999998,150.86858000000007
Windsor,North-west,46.1,-33.60950999999994,150.81855000000007
Windsor Downs,North-west,44.0,-33.66278999999997,150.80144000000007
Winmalee,West,58.5,-33.673539999999946,150.60766
Winston Hills,West,22.7,-33.778129999999976,150.97484000000009
Wisemans Ferry,North,55.2,-33.386199999999974,150.98507000000006
Wolli Creek,South-west,8.5,-33.93429999999995,151.1520700000001
Wollongong,South-west,68.3,-34.424849999999935,150.89303000000007
