Postcode,Suburb,Direction,Distance (km),Latitude,Longitude,Population,Density (/km2),Area (km2),Total Crime,House Median Price,House Rent (PW),Unit Median Price,Unit Rent (PW),House Price 2018,House Price 2017,House Price Change (1 yr),Unit Price 2018,Unit Price 2017,Unit Price Change (1 yr),Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
2019,Banksmeadow,South,10.3,-33.962449999999926,151.21468000000004,18,161.0,3 ,53,no data,no data,no data,no data,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0
1885,Bankstown,West,16.9,-33.914589999999976,151.0342800000001,32113,,,6669,895000,500 ,500000,425 ,895000,980000,-8.67,500000,520000,-3.85,2,0,19,2,1,0,9,1
2300,Bar Beach,North-east,115.6,-32.93824999999998,151.76849000000004,1256,4155.0,0.5 ,176,1150000,no data,no data,420 ,1150000,1772500,-35.12,805000,576500,39.64,0,0,3,0,3,0,2,0
2234,Barden Ridge,South-west,26.2,-34.026509999999966,151.00710000000004,4041,,,108,1250000,700 ,no data,670 ,1250000,1327500,-5.84,811000,840000,-3.45,0,0,0,0,0,0,0,1
2207,Bardwell Park,South-west,10.4,-33.93200999999993,151.12570000000005,2242,,,159,1175000,673 ,no data,410 ,1200000,1425000,-15.79,835000,750500,11.26,0,0,1,1,2,0,0,1
2207,Bardwell Valley,South-west,10.1,-33.93712999999997,151.13305000000003,2323,,,68,1137500,593 ,805000,no data,1150000,1267500,-9.27,810000,862500,-6.09,0,0,0,0,3,0,0,0
2574,Bargo,South-west,74.5,-34.28939999999995,150.57932000000002,4393,,,215,670000,450 ,no data,no data,677500,700000,-3.21,365766,369000,-0.88,0,0,2,1,0,0,1,1
2528,Barrack Heights,South-west,84.1,-34.56209999999993,150.85836000000006,5900,,,432,587500,450 ,no data,330 ,595000,599500,-0.75,412000,368000,11.96,2,0,1,0,0,0,2,0
2197,Bass Hill,West,20.0,-33.89850999999993,150.99494000000004,9069,,,883,825000,550 ,680000,450 ,835000,881000,-5.22,690000,750000,-8.0,0,0,6,0,1,0,4,0
2261,Bateau Bay,North-east,59.7,-33.38269999999994,151.4783500000001,12146,1760.0,6.9 ,832,682500,460 ,499000,400 ,683750,700000,-2.32,500000,478000,4.6,1,0,1,0,2,0,0,0
