Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Picton,0,0,3,1,0,0,2,0
Pitt Town,0,0,2,1,0,0,1,0
Plumpton,0,0,5,0,0,0,6,0
Point Clare,0,0,1,0,1,0,2,0
Point Frederick,0,0,2,0,2,0,0,0
Point Piper,0,0,3,0,5,0,0,0
Port Hacking,0,0,1,0,0,0,1,0
Potts Point,2,0,67,12,8,1,3,7
Prairiewood,0,0,1,0,0,0,0,0
Prestons,0,0,1,0,1,0,1,0
Pretty Beach,0,0,0,0,1,0,0,0
Primbee,0,0,1,0,1,0,1,1
Prospect,0,0,1,0,0,0,4,0
Putney,0,0,8,0,0,0,1,0
Pymble,0,0,3,0,1,0,2,1
Pyrmont,3,0,48,5,2,0,5,5
Quakers Hill,0,0,3,1,0,0,1,1
Queens Park,0,0,3,0,2,0,0,0
Queenscliff,0,0,12,1,2,0,2,0
Raby,0,0,3,1,0,0,1,0
Ramsgate,0,0,5,1,2,0,0,0
Ramsgate Beach,0,0,6,1,1,0,6,0
Randwick,0,0,24,1,2,0,4,0
Randwick North,0,0,5,0,0,0,5,0
Rankin Park,0,0,0,0,0,0,0,1
Rathmines,0,0,0,0,0,0,1,0
Redfern,5,0,12,7,3,0,2,0
Redhead,0,0,3,0,2,0,1,0
Regents Park,0,0,3,0,1,0,0,1
Regentville,0,0,0,0,0,0,3,0
Revesby,0,0,3,1,2,0,2,2
Revesby Heights,0,0,1,0,1,0,0,0
Rhodes,0,0,4,0,3,0,1,0
Richmond,0,0,7,4,1,0,5,1
Riverstone,0,0,3,2,1,0,2,1
Riverview,0,0,1,0,2,1,1,0
Riverwood,0,0,12,0,0,0,3,1
Rockdale,0,0,13,0,1,0,8,0
Rodd Point,0,0,2,0,5,0,0,0
Rooty Hill,1,0,1,1,2,0,1,1
Ropes Crossing,0,0,2,0,1,0,3,0
Rose Bay,0,0,12,1,6,0,3,0
Rosebery,0,0,17,0,0,0,3,0
Roselands,0,0,6,2,1,0,4,1
Rosemeadow,0,0,2,0,0,0,3,0
Roseville,1,0,8,1,0,0,0,1
Roseville Chase,0,0,2,0,0,0,2,0
Rossmore,0,0,0,0,0,0,1,0
Rozelle,0,0,19,5,2,0,6,1
Ruse,0,0,0,0,0,0,4,0
Rushcutters Bay,1,0,69,14,7,0,3,6
Russell Lea,0,0,3,0,1,0,0,0
Russell Vale,1,0,0,0,2,0,1,0
Rydalmere,0,0,3,0,1,0,2,1
Ryde,1,0,30,2,3,0,18,1
Sackville,0,0,2,0,0,0,0,1
Sadleir,1,0,0,0,0,0,0,0
San Remo,1,0,1,0,0,0,0,0
Sandringham,0,0,4,1,1,0,0,0
Sans Souci,0,0,8,0,0,0,4,0
Saratoga,0,0,2,0,0,0,2,1
Scarborough,1,0,0,1,1,0,0,0
Schofields,0,0,2,0,0,0,0,0
Scotland Island,0,0,0,0,0,0,0,4
Seaforth,0,0,1,0,1,0,0,0
Sefton,0,0,0,0,2,0,0,0
Seven Hills,0,0,4,1,0,0,3,2
Shelly Beach,0,0,1,2,2,0,0,1
Smeaton Grange,0,0,0,0,1,0,3,0
Smithfield,0,0,0,0,0,0,1,0
South Coogee,0,0,1,0,1,0,0,1
South Granville,0,0,0,0,1,1,0,0
South Hurstville,0,0,4,1,0,0,3,0
South Penrith,0,0,2,0,0,0,2,0
South Turramurra,0,0,3,0,2,0,0,0
South Wentworthville,0,0,2,0,0,0,1,0
South Windsor,1,0,0,1,3,0,1,0
Speers Point,0,0,1,1,3,0,1,0
Spencer,1,0,0,0,0,0,0,0
Springfield,0,0,1,0,0,0,0,0
Springwood,0,0,9,2,1,0,2,0
St Andrews,0,0,3,0,0,0,1,0
St Helens Park,0,0,0,0,0,0,1,0
St Ives,0,0,0,1,1,0,0,0
St Ives Chase,0,0,2,0,0,0,2,0
St Johns Park,0,0,0,0,2,0,1,0
St Leonards,0,0,30,1,3,1,1,0
St Marys,0,0,0,0,0,0,0,1
St Peters,0,0,2,0,0,0,0,1
Stanhope Gardens,0,0,9,0,1,0,2,0
Stanmore,0,0,4,1,1,0,0,1
Stanwell Park,0,0,3,0,0,0,1,1
Stanwell Tops,0,0,1,0,0,0,0,0
Strathfield,0,0,37,1,0,0,4,4
Strathfield South,1,0,2,0,1,0,0,0
Summer Hill,0,0,12,1,1,0,1,1
Surry Hills,4,0,71,16,2,0,5,2
Sutherland,0,0,17,2,2,0,6,1
Swansea,0,0,6,1,0,0,2,0
Sydenham,0,0,3,1,0,0,4,2
Sydney,2,0,48,20,3,1,21,5
Sydney Olympic Park,2,0,19,0,2,0,1,0
Sylvania Waters,1,0,1,0,2,0,0,0
Tahmoor,0,0,2,0,0,0,3,1
Tamarama,0,0,4,1,4,0,1,1
Taren Point,0,0,2,0,2,0,4,1
Tarrawanna,0,0,2,1,0,0,0,0
Tascott,0,0,1,0,0,0,2,1
Telopea,0,0,1,0,0,1,1,1
Tempe,0,0,4,0,0,0,1,1
Tennyson Point,0,0,2,0,2,0,0,0
Teralba,0,0,0,0,3,0,0,1
Terrey Hills,0,0,0,1,0,0,0,0
Terrigal,0,0,14,1,2,0,0,3
The Entrance,1,0,6,1,1,0,0,2
The Entrance North,0,0,1,1,1,0,0,0
The Hill,1,0,19,3,1,1,1,0
The Junction,0,0,11,1,2,0,3,0
The Oaks,0,0,1,1,0,0,2,0
The Ponds,0,0,4,0,1,0,2,0
The Rocks,13,0,47,19,9,0,2,10
Thirlmere,1,0,1,1,0,0,1,1
Thirroul,1,0,8,1,0,0,3,1
Thornleigh,0,0,9,0,2,1,5,0
Tingira Heights,0,0,0,0,0,0,1,0
Toongabbie,0,0,0,0,2,0,1,1
Toowoon Bay,0,0,1,0,2,0,0,2
Toronto,0,0,7,0,1,0,4,0
Toukley,0,0,1,1,0,0,2,0
Towradgi,0,0,3,0,0,0,1,0
Tuggerah,0,0,2,0,0,0,3,2
Tuggerawong,0,0,1,0,1,0,0,0
Turramurra,0,0,11,1,1,0,7,0
Turrella,0,0,1,0,1,0,1,2
Ultimo,5,0,49,6,2,0,3,3
Umina Beach,0,0,6,1,1,0,4,0
Unanderra,0,0,1,1,0,0,1,1
Valentine,0,0,0,0,1,0,0,0
Valley Heights,0,0,1,0,1,0,0,1
Vaucluse,0,0,3,0,3,0,1,0
Villawood,1,0,0,0,0,0,0,2
Vineyard,0,0,1,0,1,0,0,0
Voyager Point,0,0,0,0,1,0,0,0
Wadalba,0,0,2,0,0,0,1,1
Wagstaffe,0,0,0,0,1,0,0,2
Wahroonga,0,0,17,0,2,0,3,1
Waitara,0,0,6,2,3,0,1,0
Wakeley,0,0,1,0,0,0,2,0
Wallacia,0,0,1,1,2,0,1,1
Wallsend,0,0,5,0,2,0,3,0
Walsh Bay,0,0,7,1,2,0,2,1
Wamberal,0,0,4,0,0,0,1,0
Wangi Wangi,0,0,0,0,1,0,0,0
Waratah,0,0,6,2,0,0,5,0
Wareemba,0,0,6,0,0,0,3,0
Warilla,0,0,3,0,0,0,2,0
Warners Bay,0,0,7,1,1,0,3,0
Warragamba,1,0,1,0,1,0,0,0
Warrawee,0,0,0,0,1,0,0,0
Warrawong,1,0,2,0,0,0,6,0
Warriewood,0,0,0,0,1,0,2,0
Warrimoo,0,0,0,0,0,0,0,1
Warwick Farm,1,0,5,0,0,0,1,2
Watanobbi,0,0,1,0,1,0,0,1
Waterfall,0,0,1,0,1,0,0,3
Watsons Bay,0,0,6,2,8,0,0,2
Wattle Grove,0,0,5,1,1,0,3,0
Waverley,0,0,8,2,1,0,3,0
Waverton,0,0,6,0,4,0,1,2
Wentworth Falls,0,0,6,0,2,0,0,2
Wentworth Point,0,0,1,1,3,0,0,0
Wentworthville,0,0,2,1,0,0,1,1
Werri Beach,0,0,2,0,1,0,0,1
Werrington,0,0,0,1,0,0,0,0
Werrington County,0,0,1,0,0,0,3,0
Werrington Downs,0,0,0,0,1,0,1,0
West Gosford,0,0,2,1,2,0,0,1
West Hoxton,0,0,1,0,0,0,0,0
West Pennant Hills,0,0,2,0,2,0,1,0
West Pymble,0,0,2,1,0,0,0,1
West Ryde,0,0,13,1,1,0,8,2
West Wallsend,1,0,0,1,1,0,0,1
Westleigh,0,0,1,0,1,0,2,0
Westmead,0,0,1,0,1,0,0,2
Whalan,0,0,0,0,0,0,2,0
Whale Beach,0,0,3,0,1,0,0,0
Wheeler Heights,0,0,1,0,0,0,3,0
Whitebridge,0,0,0,0,0,0,0,1
Wickham,0,0,3,2,5,0,2,0
Wilberforce,0,0,2,0,1,0,1,0
Wiley Park,0,0,3,0,0,0,1,1
Willmot,0,0,0,0,0,0,0,1
Willoughby,0,0,10,1,4,0,1,2
Willoughby East,0,0,1,0,3,0,0,0
Windale,0,0,0,1,1,0,0,0
Windang,0,0,2,0,1,0,2,0
Windsor,0,0,3,0,1,0,2,0
Winmalee,0,0,1,1,1,0,2,0
Winston Hills,0,0,1,0,3,0,1,1
Wisemans Ferry,0,0,1,1,1,0,0,2
Wolli Creek,0,0,3,0,3,0,3,4
Wollongong,1,0,26,5,1,0,5,2
Wollongong North,0,0,1,1,0,0,1,2
Wollongong West,0,0,3,0,1,0,0,0
Wollstonecraft,0,0,0,0,1,0,1,2
Wombarra,0,0,0,1,2,0,0,1
Woodbine,0,0,8,0,0,1,1,2
Woodcroft,0,0,5,0,1,0,3,0
Woodpark,0,0,1,0,0,0,3,1
Woodrising,0,0,2,0,0,0,3,0
Woollahra,3,0,50,5,6,0,17,1
Woolloomooloo,3,0,22,5,6,0,1,3
Woolooware,1,0,1,0,0,0,1,1
Woolwich,0,0,3,1,4,0,0,0
Woongarrah,0,0,0,0,0,0,1,1
Woonona,0,0,7,1,1,0,3,0
Woronora,0,0,2,0,2,0,0,0
Woronora Heights,1,0,0,0,0,0,1,0
Woy Woy,0,0,4,0,0,0,2,0
Woy Woy Bay,0,0,0,0,2,0,0,1
Wyoming,2,0,10,0,1,0,3,1
Wyong,0,0,1,1,0,0,2,3
Yagoona,0,0,1,0,0,0,1,0
Yarramundi,0,0,0,0,1,0,0,0
Yarrawarrah,0,0,1,0,1,0,1,0
Yattalunga,0,0,0,0,0,0,3,0
Yennora,0,0,0,0,0,0,1,3
Yowie Bay,0,0,0,1,0,0,0,0
Zetland,1,0,14,0,2,0,3,4
