Suburb,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Shop & Service,Travel & Transport
Canley Heights,0,0,19,1,1,0,1,0
Canley Vale,0,0,14,2,1,0,0,2
Canterbury,0,0,6,1,3,0,2,3
Cardiff,0,0,1,1,0,0,2,1
Cardiff South,1,0,0,0,0,0,1,0
Caringbah,0,0,11,1,2,0,4,1
Caringbah South,0,0,2,1,0,0,0,0
Carlingford,0,0,16,0,1,0,8,0
Carlton,1,0,6,1,3,0,3,0
Carnes Hill,0,0,5,0,0,0,4,0
Carramar,0,0,2,0,0,0,0,0
Carss Park,0,0,4,0,1,0,0,0
Cartwright,1,0,1,0,2,0,1,0
Castle Cove,0,0,3,0,1,0,2,0
Castle Hill,3,0,22,2,0,0,11,0
Castlecrag,0,0,6,0,1,0,1,0
Casula,0,0,5,0,0,0,6,0
Catherine Field,1,0,0,0,0,0,0,1
Cattai,0,0,0,0,1,0,0,0
Caves Beach,0,0,2,0,0,0,0,1
Cecil Hills,0,0,1,0,0,0,0,0
Centennial Park,1,0,5,0,2,0,0,1
Cessnock,0,0,5,1,1,0,6,1
Charlestown,1,0,0,0,1,0,1,0
Charmhaven,0,0,1,0,1,0,4,0
Chatswood,1,0,41,0,2,0,4,1
Chatswood West,0,0,2,0,1,0,0,1
Cheero Point,0,0,0,0,1,0,0,0
Cheltenham,0,0,0,0,0,0,0,3
Cherrybrook,0,0,5,0,0,0,3,0
Chester Hill,0,0,9,0,0,0,4,1
Chifley,0,0,3,0,0,0,0,1
Chippendale,4,0,45,17,3,1,3,2
Chipping Norton,0,0,2,0,0,0,2,0
Chiswick,1,0,1,0,2,0,0,0
Chittaway Bay,0,0,0,1,1,0,3,0
Chittaway Point,0,0,0,0,1,0,3,0
Chullora,0,0,1,1,0,0,1,0
Church Point,0,0,1,0,0,0,0,3
Claremont Meadows,0,0,1,0,1,0,2,0
Clareville,0,0,1,0,3,0,0,0
Clemton Park,0,0,2,0,0,0,2,0
Clifton,0,0,0,0,2,0,0,0
Clontarf,0,0,7,1,2,0,1,1
Clovelly,0,0,10,0,0,0,1,2
Clyde,1,0,0,0,0,0,3,3
Cobbitty,0,0,1,0,1,0,0,0
Coledale,0,0,0,1,2,0,0,1
Collaroy,0,0,6,1,2,0,2,1
Collaroy Plateau,1,0,0,0,2,0,2,0
Colo Vale,0,0,0,0,0,0,1,1
Colyton,0,0,1,0,0,0,0,0
Como,0,0,1,0,1,0,2,0
Concord,0,0,11,1,2,0,2,0
Concord West,0,0,7,1,0,0,0,3
Condell Park,0,0,0,0,0,0,1,0
Coniston,1,0,0,1,1,0,1,1
Connells Point,0,0,2,0,1,0,0,0
Constitution Hill,0,0,2,0,0,0,0,0
Coogee,0,0,34,2,13,0,4,7
Cooks Hill,0,0,20,6,1,0,2,0
Cooranbong,0,0,4,0,0,0,0,0
Copacabana,0,0,1,0,1,0,0,0
Corrimal,0,0,3,0,1,0,3,0
Corrimal East,0,0,1,0,0,0,2,0
Cottage Point,0,0,1,0,2,0,0,1
Cowan,0,0,0,0,3,0,0,1
Cranebrook,0,0,1,0,2,0,2,1
Cremorne,1,0,37,4,1,0,6,0
Cremorne Point,0,0,2,0,1,0,0,2
Cringila,0,0,3,0,0,0,1,0
Cromer,0,0,0,0,1,0,1,1
Cronulla,2,0,38,4,4,0,5,4
Crows Nest,0,0,77,6,2,1,9,0
Croydon,0,0,0,0,3,0,0,0
Croydon Park,0,0,2,0,0,0,4,0
Cumberland Reach,0,0,0,0,1,0,0,0
Curl Curl,0,0,0,0,4,0,0,0
Currans Hill,0,0,2,0,0,0,1,0
Daceyville,0,0,27,1,2,0,2,0
Daleys Point,0,0,3,0,0,0,0,0
Dangar Island,0,0,2,0,1,0,1,0
Dapto,0,0,1,0,1,0,2,0
Darling Point,0,0,0,0,2,0,1,0
Darlinghurst,5,0,65,18,4,0,8,0
Darlington,2,1,16,6,1,2,2,0
Davistown,0,0,3,0,2,0,1,0
Dawes Point,8,0,31,11,10,0,2,9
Dean Park,0,0,3,0,0,0,1,0
Dee Why,0,0,2,1,2,0,0,0
Denham Court,0,0,0,0,0,0,1,0
Denistone,0,0,0,0,0,0,1,2
Denistone East,0,0,5,0,0,0,2,0
Dharruk,0,0,0,1,0,0,0,0
Dolans Bay,0,0,0,0,0,0,0,1
Dolls Point,0,0,4,1,2,0,0,0
Doonside,0,0,4,0,0,0,1,2
Dora Creek,0,0,1,0,1,0,1,1
Double Bay,1,0,19,3,3,0,3,2
Douglas Park,0,0,0,0,2,0,1,2
Dover Heights,0,0,1,0,4,0,0,0
Drummoyne,0,0,8,3,5,0,5,2
Dudley,0,0,1,1,0,0,0,0
Duffys Forest,0,0,0,0,1,0,0,0
Dulwich Hill,0,0,17,1,2,0,2,2
Dundas,0,0,1,0,1,0,0,1
Dundas Valley,0,0,1,0,2,0,0,0
Dural,0,0,4,0,0,0,2,0
Eagle Vale,1,0,3,0,4,0,5,0
Earlwood,0,0,9,1,2,0,3,0
East Corrimal,0,0,3,0,0,0,1,1
East Gosford,0,0,4,1,2,0,2,0
East Hills,0,0,0,1,0,0,0,3
East Killara,0,0,1,0,1,0,3,0
East Lindfield,0,0,2,0,0,0,3,0
East Ryde,0,0,1,1,3,0,0,0
Eastern Creek,0,0,1,0,0,0,0,0
Eastgardens,1,0,22,0,1,0,15,0
Eastlakes,0,0,0,1,1,0,7,0
Eastwood,0,0,43,2,1,0,3,1
Ebenezer,0,0,0,0,1,0,0,0
Edensor Park,0,0,1,0,1,0,2,0
Edgecliff,1,0,5,0,2,0,2,1
Edgeworth,0,0,1,0,0,0,0,0
Elanora Heights,0,0,2,0,1,0,1,1
Elderslie,0,0,1,0,0,0,1,0
Eleebana,0,0,0,0,2,0,0,0
Elermore Vale,0,0,0,1,1,0,3,0
Elizabeth Bay,2,0,62,13,11,1,4,5
Ellalong,0,0,0,1,0,0,1,0
Elvina Bay,0,0,0,0,1,0,0,0
