Postcode,Suburb,Distance (km),Latitude,Longitude,Density (/km2),Population,Total Crime,House Median Price,House Price Change (1 yr),Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport,Crime Rate
1595,Lane Cove,6.8,-33.813469999999946,151.1701700000001,4327.0,10817,296,2115000,-9.27,16,2,5,3,0,2.74
2166,Lansvale,23.2,-33.899039999999964,150.95563000000004,886.0,2570,242,712500,-5.69,3,0,1,0,0,9.42
2040,Leichhardt,5.0,-33.883669999999945,151.1587300000001,3204.0,14625,960,1325000,-14.19,29,3,2,9,1,6.56
2049,Lewisham,6.6,-33.89332999999993,151.1469900000001,4944.0,3164,247,1330000,-7.16,6,1,5,4,2,7.81
1825,Lidcombe,15.1,-33.864829999999984,151.0407100000001,2886.0,19627,1869,1054000,-10.2,13,1,3,0,2,9.52
2040,Lilyfield,3.9,-33.87378999999993,151.16244000000006,3462.0,7616,477,1800000,7.95,7,1,1,5,3,6.26
2070,Lindfield,10.7,-33.775189999999945,151.16867000000005,1894.0,9791,274,2289000,-15.85,13,0,0,2,1,2.8
2122,Marsfield,13.6,-33.78031999999996,151.1023600000001,3445.0,13297,434,1502500,-11.24,1,0,2,0,1,3.26
1460,Mascot,7.2,-33.92975999999993,151.1946200000001,1605.7,14772,1442,1300000,-8.11,12,0,1,1,0,9.76
2068,Middle Cove,8.1,-33.79249999999996,151.20731000000012,420.0,1340,22,1850000,-7.5,1,0,1,1,0,1.64
1660,Mona Vale,22.8,-33.678129999999946,151.29924000000003,2320.0,10670,491,1660000,-6.94,11,0,1,2,0,4.6
2065,Naremburn,5.6,-33.817309999999964,151.20126000000005,3441.0,5884,98,2052500,-7.61,7,1,1,2,1,1.67
2089,Neutral Bay,3.8,-33.830499999999965,151.21969,6555.0,10488,541,2502000,12.55,45,3,4,9,0,5.16
2127,Newington,14.4,-33.83918999999997,151.05455000000006,6239.0,5802,161,1340000,-1.82,1,0,2,1,0,2.77
2076,Normanhurst,19.2,-33.72112999999996,151.09712000000005,2438.0,5290,127,1195000,-14.97,2,0,0,0,2,2.4
1750,North Parramatta,19.7,-33.798319999999926,151.0104200000001,2548.0,13248,737,1023500,-26.63,1,1,1,3,1,5.56
2113,North Ryde,11.0,-33.793379999999964,151.1200200000001,2026.0,10860,305,1460000,-14.99,5,0,1,5,0,2.81
2059,North Sydney,3.2,-33.83920999999998,151.20721000000003,5504.0,7705,1520,2150000,-25.19,42,5,6,1,0,19.73
2074,North Turramurra,18.0,-33.71298999999993,151.14723000000004,363.0,4257,75,1710000,-7.69,3,0,0,2,0,1.76
1560,Northbridge,6.3,-33.81027999999998,151.22194000000005,2267.0,6347,111,3165000,-8.88,1,0,4,1,0,1.75
2152,Northmead,21.4,-33.793739999999964,150.9946900000001,2608.0,11215,590,1019500,-7.94,10,0,0,5,0,5.26
2021,Paddington,2.7,-33.88202999999993,151.2289000000001,8607.0,12911,783,2307500,4.68,12,6,1,4,1,6.06
2035,Pagewood,7.9,-33.94025999999997,151.21604000000005,1087.0,3805,160,1630000,-8.45,1,0,1,1,0,4.2
2145,Pendle Hill,24.4,-33.799999999999955,150.95000000000005,3774.0,7247,560,836000,-4.5,2,0,2,1,0,7.73
2049,Petersham,5.9,-33.89626999999996,151.15390000000005,6291.0,8116,718,1295000,-11.4,16,5,4,7,1,8.85
2073,Pymble,15.0,-33.740279999999984,151.1371600000001,1698.0,11051,298,2240000,-0.78,3,0,1,2,1,2.7
2216,Rockdale,11.5,-33.951809999999966,151.1381100000001,6472.0,15534,1699,1100000,-18.67,13,0,1,8,0,10.94
2029,Rose Bay,5.7,-33.870259999999966,151.2688400000001,3866.0,10053,485,3612500,-15.99,12,1,6,3,0,4.82
1445,Rosebery,5.9,-33.912279999999946,151.2016500000001,3909.5,10117,645,1575000,4.37,17,0,0,3,0,6.38
2069,Roseville,9.6,-33.78367999999995,151.17578000000003,2965.0,10082,279,2875000,-3.06,8,1,0,0,1,2.77
2039,Rozelle,3.4,-33.86330999999996,151.1704400000001,4592.0,8725,500,1585000,-2.9,19,5,2,6,1,5.73
2116,Rydalmere,16.5,-33.81247999999995,151.0417100000001,3243.0,6642,409,1140000,0.41,3,0,1,2,1,6.16
2092,Seaforth,8.9,-33.792239999999936,151.24112000000005,2303.0,7139,158,2825000,-3.52,1,0,1,0,0,2.21
2074,South Turramurra,16.0,-33.75035999999995,151.11275000000015,1028.0,3084,36,1540000,-11.93,3,0,2,0,0,1.17
2048,Stanmore,5.1,-33.89369999999997,151.16422000000009,3969.0,7938,444,1550000,-9.42,4,1,1,0,1,5.59
2117,Telopea,16.9,-33.79518999999993,151.04339000000004,3617.0,5426,439,1287000,-7.41,1,0,0,1,1,8.09
2120,Thornleigh,19.1,-33.728089999999945,151.08381000000008,2116.0,8464,378,1230000,-7.2,9,0,2,5,0,4.47
2074,Turramurra,16.5,-33.732029999999945,151.12866000000008,1944.0,11919,356,1967500,-1.13,11,1,1,7,0,2.99
2076,Wahroonga,18.7,-33.718429999999955,151.1174400000001,2118.0,17371,453,1850000,-12.79,17,0,2,3,1,2.61
2046,Wareemba,7.2,-33.858109999999954,151.13102000000003,5153.0,1546,36,1900000,-1.81,6,0,0,3,0,2.33
2173,Wattle Grove,27.2,-33.954599999999964,150.93925000000004,3730.0,8952,337,789750,-4.99,5,1,1,3,0,3.76
2060,Waverton,3.2,-33.837659999999964,151.1968700000001,3775.0,3020,151,2681360,17.09,6,0,4,1,2,5.0
2145,Wentworthville,22.9,-33.81191999999993,150.96590000000003,3651.0,11318,799,925000,-9.71,2,1,0,1,1,7.06
2073,West Pymble,14.1,-33.76796999999993,151.1351800000001,1480.0,5298,123,1642500,-10.41,2,1,0,0,1,2.32
1685,West Ryde,12.8,-33.807519999999954,151.08688000000006,3752.0,13394,498,1433750,-16.09,13,1,1,8,2,3.72
2145,Westmead,21.5,-33.814499999999946,150.98467000000005,5624.0,16309,1203,957500,-32.75,1,0,1,0,2,7.38
2068,Willoughby,7.4,-33.807249999999954,151.1993500000001,2031.0,6540,184,2150000,-9.28,10,1,4,1,2,2.81
1350,Woollahra,3.7,-33.88957999999997,151.24795000000006,6020.0,7405,283,3200000,0.0,50,5,6,17,1,3.82
2199,Yagoona,17.3,-33.90523999999993,151.0100900000001,4030.0,18013,1213,840000,-5.78,1,0,0,1,0,6.73
