loss,params,iteration,train_time
0.72397926510294,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 3.0170547024940886, 'random_strength': 3.1452134023010125, 'learning_rate': 0.013276426181113545, 'iterations': 200, 'depth': 9}",19,310.6071972339996
0.7053242304718697,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 8.436315632093471, 'random_strength': 4.903302335308311, 'learning_rate': 0.05777578763704098, 'iterations': 200, 'depth': 7}",20,176.6268260129982
0.679993696472852,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.288973321742571, 'random_strength': 1.7695004314767204, 'learning_rate': 0.1925716425613285, 'iterations': 200, 'depth': 10}",21,2227.677798949
0.6841079511592922,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.503714905566469, 'random_strength': 1.7161916297483604, 'learning_rate': 0.18798402093284453, 'iterations': 200, 'depth': 10}",22,2178.9567586529993
0.6808203255832805,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 9.982096320773332, 'random_strength': 1.865428434526897, 'learning_rate': 0.13299208930225626, 'iterations': 200, 'depth': 8}",23,477.8496608429996
0.6788180674228232,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.502213769332813, 'random_strength': 1.9385845969247262, 'learning_rate': 0.1315655154014018, 'iterations': 200, 'depth': 10}",24,1892.3351287850019
0.6871933500594793,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 6.976340175874364, 'random_strength': 2.6982586403556543, 'learning_rate': 0.12113902690179523, 'iterations': 200, 'depth': 10}",25,2489.4482413799997
0.676742255107274,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.825695833704838, 'random_strength': 2.0786225484172327, 'learning_rate': 0.15477261180030893, 'iterations': 200, 'depth': 10}",26,2788.9653835749996
0.6783014107984586,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 7.8055778908731845, 'random_strength': 2.140332487863258, 'learning_rate': 0.1513585162896398, 'iterations': 200, 'depth': 10}",27,2327.4170367069964
0.7119751851711236,"{'classes_count': 5, 'loss_function': 'MultiClass', 'class_weights': (1, 0.13, 0.1, 0.13, 0.1), 'od_type': 'Iter', 'eval_metric': 'WKappa', 'l2_leaf_reg': 8.157712067532145, 'random_strength': 1.446764430247415, 'learning_rate': 0.024470658705321092, 'iterations': 200, 'depth': 10}",28,793.1349861899944
